ああ	嗚呼
あい	愛
あい	相
あいあんないと	赤鉄騎士
あいあんぶりーど	鉄血の子供
あいあんぶりーど	鉄血の子供たち
あいおい	相老
あいが	相賀
あいぐん	璦琿
あいけいびょういん	愛慶病院
あいこ	愛子
あいこと	相異
あいことば	合言葉
あいこん	眼魂
あいこんじま	眼魂島
あいさつ	挨拶
あいすくいーん	氷の女王
あいすどらごんぞく	氷竜族
あいすまん	冷凍男
あいすめいでん	氷の乙女
あいぜんてっこう	愛染鉄工
あいぜんどらぐーん	鉄竜騎兵団
あいぜんりったー	鉄騎隊
あいだ	間
あいつ	彼
あいつ	男友達
あいづはん	会津藩
あいて	相手
あいど	愛奴
あいどる	人気者
あいのしゅく	間の宿
あいのぼ	相昇
あいば	饗場
あいひき	相率
あいぼーるこれくたー	眼球蒐集家
あいま	相俟
あいもの	合物
あいり	藍里
あいろ	隘路
あうるむがーでん	黄金の園
あえ	阿閇
あえんてっぱん	亜鉛鉄板
あえんとてっぱん	亜鉛鍍鉄板
あお	仰
あお	扇
あお	群青
あお	蒼
あお	阿保
あおい	葵
あおい	青井
あおいたつまき	蒼い竜巻
あおいはなのせいれい	青い花の精霊
あおうみ	青海
あおがね	蒼金
あおきこういち	青木光一
あおしま	青島
あおしま	青嶋
あおそ	青苧
あおた	青田
あおぬま	青沼
あおぬまこおり	青沼郡
あおのせいてん	蒼の聖典
あおのでぃーゔぁ	蒼の歌姫
あおば	青羽
あおばえ	蒼蝿
あおひ	青引
あおやぎかい	青柳会
あか	緋
あか	赫光
あか	赭
あか	閼伽
あかいいなずま	紅い稲妻
あかいかめんのおとこ	赤い仮面の男
あかいけ	赤池
あかいこ	赤猪子
あかいすぺーど	赤いスペード
あかぎ	赤城
あかさか	赤坂
あかし	証
あかしたつひこ	赤司竜彦
あかしっくれこーど	禁忌教典
あかじだ	赤耳朶
あかぢ	赤地
あかつき	暁
あかつき	曉
あかつきがん	暁銃
あかでみーしょう	アカデミー賞
あかなめ	垢嘗
あかねたか	茜鷹
あかねぶり	垢舐
あかば	赤羽
あかびら	赤平
